Ruta,Tractocamión,Prob_vacio
RETORNO BB PACABTUN/BB CANCUN PLANTA,T628,0.41519765907886175
BB PLAYA DEL CARMEN/BB TULUM,T628,0.4156876669753865
BB CANCUN/SAMS,T586,0.47602243734486344
BB CANCUN PLANTA/BB CHETUMAL,T806,0.4164893016988435
BB CHETUMAL/BB CANCUN PLANTA,T628,0.41649449699709223
BB PONIENTE/BB CHETUMAL,T686,0.41655057110319477
BB CAMPECHE OTE/BB PACABTUN,T581,0.4842911876340416
BB CIUDAD DEL CARMEN/MEGA EMPACK,T612,0.44075861168357183
BB PETO/BB PACABTUN,T687,0.46761581829828547
SUPER AKI/BB CANCUN PLANTA,T628,0.4172984738127202
BB CANCUN PLANTA/GRAND PALACE,T628,0.4181570146481907
BB PONIENTE/BB DZITBALCHE,T774,0.45618416177178667
BB CANCUN PLANTA/SUPER AKI,T628,0.4190547931104999
MEGA EMPACK/BB CANCUN PLANTA,T790,0.44836204030125143
BB CANCUN PLANTA/SAMS CUMBRES,T806,0.41928780678518957
BB PACABTUN/BB FELIPE CARRILO PUERTO,T743,0.4483700072224562
BB CHETUMAL/BB PLAYA DEL CARMEN,T806,0.42039892430640147
BB JOSE MARIA MORELOS/BB PACABTUN,T750,0.4685196688985671
BB PACABTUN/BB CHETUMAL,T739,0.4606439992773592
BB DZITBALCHE/BB PONIENTE,T598,0.4212505643778795
SAMS/BB CANCUN,T806,0.4216734450280619
BB PACABTUN/BB CANCUN,T628,0.4217945258876102
SAMS CUMBRES/BB CANCUN PLANTA,T806,0.4219129111326974
BB FELIPE CARRILO PUERTO/BB PACABTUN,T745,0.4508650797085653
BB PACABTUN/BB JOSE MARIA MORELOS,T578,0.46882587448681906
BB ESCARCEGA/BB PACABTUN,T793,0.4439177660175897
BODEGA AURRERA SALINA CRUZ/PENSION SALINAS CRUZ,T387,0.43395826744219956
BB CANCUN PLANTA/BB CEDIS CANCUN,T469,0.4226421448502592
BB CANCUN NORTE/BB ISLA MUJERES,T629,0.4226514759354278
MEGA EMPACK/BB PLAYA DEL CARMEN,T665,0.44448404618236914
BB CAMPECHE OTE/BB PONIENTE,T598,0.4230714326073074
BB PONIENTE/BB CAMPECHE OTE,T598,0.4230714326073074
GRAND PALACE/BB CANCUN PLANTA,T628,0.42324996226001876
TULUM/BB CANCUN PLANTA,T806,0.423552786806656
BB TULUM/BB PACABTUN,T754,0.44938657875604465
BB PACABTUN/BB TULUM,T777,0.4238172589606632
WM CEDIS CHALCO/FABRICA DE JABON LA CORONA,T726,0.4247260876889121
BB PLAYA DEL CARMEN/BB CANCUN NORTE,T629,0.42486441085668647
BB CANCUN PLANTA/MERA,T806,0.42490297808138616
MEGA EMPACK/BB CIUDAD DEL CARMEN,T757,0.42510696779133517
MERA/BB CANCUN PLANTA,T806,0.4254997509917744
BB CANCUN PLANTA/MEGA EMPACK,T757,0.42567756330614764
BB COZUMEL/BB CANCUN,T632,0.42571819826694296
BB CEDIS CANCUN/BB CANCUN PLANTA,T469,0.42581635302203885
BODEGA AURRERA MATIAS ROMERO/PENSION SALINAS CRUZ,T377,0.4419202450421489
BB CHETUMAL/BB PONIENTE,T686,0.42677820507073916
BB PLAYA DEL CARMEN/MEGA EMPACK,T629,0.4270832697598073
BB PACABTUN/BB PETO,T620,0.4273102822902118
BB PACABTUN/BB ESCARCEGA,T744,0.4634483183631215
BB TICUL/BB CANCUN PLANTA,T629,0.427743629001439
BB PACABTUN/BB CANDELARIA,T773,0.4630965053813548
BBEBIDAS PACABTUN/GLACIAL PACABTUN,T709,0.42835391871359946
BB PONIENTE/MEGA EMPACK,T487,0.4538364542551199
BB CHETUMAL/BB XPUJIL,T628,0.42860079127102396
